key;activa;alquilada;totemKey
1;TRUE;FALSE;3
2;TRUE;FALSE;4
3;TRUE;FALSE;5
4;TRUE;FALSE;6
5;TRUE;FALSE;7
6;TRUE;FALSE;8
7;TRUE;FALSE;9
8;TRUE;FALSE;10
9;TRUE;FALSE;11
10;TRUE;FALSE;12
11;TRUE;FALSE;13
12;TRUE;FALSE;14
13;TRUE;FALSE;15
14;TRUE;FALSE;16
15;TRUE;FALSE;17
16;TRUE;FALSE;18
17;TRUE;FALSE;19
18;TRUE;FALSE;20
19;TRUE;FALSE;21
20;TRUE;FALSE;22
21;TRUE;FALSE;23
22;TRUE;FALSE;24
23;TRUE;FALSE;25
24;TRUE;FALSE;26
25;TRUE;FALSE;27
26;TRUE;FALSE;28
27;TRUE;FALSE;29
28;TRUE;FALSE;30
29;TRUE;FALSE;1
30;TRUE;FALSE;2
31;TRUE;FALSE;3
32;TRUE;FALSE;4
33;TRUE;FALSE;5
34;TRUE;FALSE;6
35;TRUE;FALSE;7
36;TRUE;FALSE;8
37;TRUE;FALSE;9
38;TRUE;FALSE;10
39;TRUE;FALSE;11
40;TRUE;FALSE;12
41;TRUE;FALSE;13
42;TRUE;FALSE;14
43;TRUE;FALSE;15
44;TRUE;FALSE;16
45;TRUE;FALSE;17
46;TRUE;FALSE;18
47;TRUE;FALSE;19
48;TRUE;FALSE;20
49;TRUE;FALSE;21
50;TRUE;FALSE;22
51;TRUE;FALSE;23
52;TRUE;FALSE;24
53;TRUE;FALSE;25
54;TRUE;FALSE;26
55;TRUE;FALSE;27
56;TRUE;FALSE;28
57;TRUE;FALSE;29
58;TRUE;FALSE;30
59;TRUE;FALSE;1
60;TRUE;FALSE;2
61;TRUE;FALSE;3
62;TRUE;FALSE;4
63;TRUE;FALSE;5
64;TRUE;FALSE;6
65;TRUE;FALSE;7
66;TRUE;FALSE;8
67;TRUE;FALSE;9
68;TRUE;FALSE;10
69;TRUE;FALSE;11
70;TRUE;FALSE;12
71;TRUE;FALSE;13
72;TRUE;FALSE;14
73;TRUE;FALSE;15
74;TRUE;FALSE;16
75;TRUE;FALSE;17
76;TRUE;FALSE;18
77;TRUE;FALSE;19
78;TRUE;FALSE;20
79;TRUE;FALSE;21
80;TRUE;FALSE;22
81;TRUE;FALSE;23
82;TRUE;FALSE;24
83;TRUE;FALSE;25
84;TRUE;FALSE;26
85;TRUE;FALSE;27
86;TRUE;FALSE;28
87;TRUE;FALSE;29
88;TRUE;FALSE;30
89;TRUE;FALSE;1
90;TRUE;FALSE;2
91;TRUE;FALSE;3
92;TRUE;FALSE;4
93;TRUE;FALSE;5
94;TRUE;FALSE;6
95;TRUE;FALSE;7
96;TRUE;FALSE;8
97;TRUE;FALSE;9
98;TRUE;FALSE;10
99;TRUE;FALSE;11
100;TRUE;FALSE;12
101;TRUE;FALSE;13
102;TRUE;FALSE;14
103;TRUE;FALSE;15
104;TRUE;FALSE;16
105;TRUE;FALSE;17
106;TRUE;FALSE;18
107;TRUE;FALSE;19
108;TRUE;FALSE;20
109;TRUE;FALSE;21
110;TRUE;FALSE;22
111;TRUE;FALSE;23
112;TRUE;FALSE;24
113;TRUE;FALSE;25
114;TRUE;FALSE;26
115;TRUE;FALSE;27
116;TRUE;FALSE;28
117;TRUE;FALSE;29
118;TRUE;FALSE;30
119;TRUE;FALSE;1
120;TRUE;FALSE;2
121;TRUE;FALSE;3
122;TRUE;FALSE;4
123;TRUE;FALSE;5
124;TRUE;FALSE;6
125;TRUE;FALSE;7
126;TRUE;FALSE;8
127;TRUE;FALSE;9
128;TRUE;FALSE;10
129;TRUE;FALSE;11
130;TRUE;FALSE;12
131;TRUE;FALSE;13
132;TRUE;FALSE;14
133;TRUE;FALSE;15
134;TRUE;FALSE;16
135;TRUE;FALSE;17
136;TRUE;FALSE;18
137;TRUE;FALSE;19
138;TRUE;FALSE;20
139;TRUE;FALSE;21
140;TRUE;FALSE;22
141;TRUE;FALSE;23
142;TRUE;FALSE;24
143;TRUE;FALSE;25
144;TRUE;FALSE;26
145;TRUE;FALSE;27
146;TRUE;FALSE;28
147;TRUE;FALSE;29
148;TRUE;FALSE;30
149;TRUE;FALSE;1
150;TRUE;FALSE;2
151;TRUE;FALSE;3
152;TRUE;FALSE;4
